OrderID,Year,Month,Region,Product,Category,Quantity,UnitPrice,Sales,CustomerRating
1,2024,4,South,Camera,Electronics,2,50,100,2
2,2025,1,North,Camera,Electronics,2,100,200,1
3,2023,12,Central,Phone,Mobile,4,50,200,4
4,2022,3,West,Phone,Mobile,8,300,2400,3
5,2024,2,North,Tablet,Mobile,3,200,600,4
6,2024,1,West,Laptop,Computers,6,500,3000,5
7,2022,9,East,Laptop,Computers,15,800,12000,5
8,2022,1,South,Tablet,Mobile,10,200,2000,3
9,2022,7,East,Laptop,Computers,14,200,2800,4
10,2023,6,East,Camera,Electronics,14,500,7000,2
11,2023,9,South,Camera,Electronics,5,100,500,2
12,2023,11,East,Headphones,Accessories,7,300,2100,1
13,2024,7,East,Phone,Mobile,14,50,700,1
14,2023,11,West,Phone,Mobile,15,500,7500,4
15,2024,3,South,Camera,Electronics,8,150,1200,5
16,2025,6,South,Smartwatch,Accessories,5,800,4000,2
17,2022,2,South,Smartwatch,Accessories,8,100,800,2
18,2025,7,Central,Camera,Electronics,7,100,700,4
19,2022,11,Central,Smartwatch,Accessories,5,50,250,3
20,2024,7,South,Camera,Electronics,6,100,600,4
21,2023,9,North,Laptop,Computers,12,300,3600,3
22,2023,6,South,Camera,Electronics,9,200,1800,5
23,2024,8,North,Smartwatch,Accessories,15,50,750,1
24,2023,1,South,Tablet,Mobile,15,300,4500,5
25,2022,9,South,Laptop,Computers,2,1000,2000,2
26,2024,9,Central,Camera,Electronics,8,150,1200,4
27,2024,7,East,Phone,Mobile,15,200,3000,4
28,2023,4,North,Smartwatch,Accessories,8,100,800,3
29,2023,1,North,Laptop,Computers,10,200,2000,1
30,2024,2,Central,Phone,Mobile,2,50,100,2
31,2023,9,South,Tablet,Mobile,11,1000,11000,5
32,2025,7,South,Smartwatch,Accessories,8,200,1600,1
33,2024,7,West,Laptop,Computers,11,800,8800,4
34,2022,7,East,Camera,Electronics,1,100,100,1
35,2025,3,West,Phone,Mobile,4,200,800,2
36,2022,8,Central,Tablet,Mobile,8,200,1600,1
37,2022,4,South,Laptop,Computers,11,50,550,4
38,2025,1,South,Headphones,Accessories,8,200,1600,4
39,2025,5,West,Laptop,Computers,7,300,2100,5
40,2023,4,East,Camera,Electronics,12,1000,12000,2
41,2024,1,North,Laptop,Computers,10,50,500,5
42,2022,9,North,Headphones,Accessories,9,150,1350,2
43,2023,7,North,Laptop,Computers,10,100,1000,5
44,2022,7,Central,Phone,Mobile,10,50,500,5
45,2023,11,East,Smartwatch,Accessories,6,300,1800,2
46,2024,8,East,Tablet,Mobile,7,150,1050,1
47,2022,9,South,Laptop,Computers,8,100,800,5
48,2022,4,East,Tablet,Mobile,3,500,1500,3
49,2022,11,Central,Phone,Mobile,8,300,2400,3
50,2024,2,North,Camera,Electronics,2,150,300,5
51,2023,12,East,Phone,Mobile,5,300,1500,2
52,2025,5,North,Camera,Electronics,11,300,3300,1
53,2022,1,East,Camera,Electronics,7,300,2100,2
54,2025,9,West,Camera,Electronics,5,150,750,5
55,2023,9,North,Laptop,Computers,2,100,200,3
56,2025,3,North,Smartwatch,Accessories,9,150,1350,3
57,2024,4,South,Tablet,Mobile,15,50,750,1
58,2023,4,South,Tablet,Mobile,13,800,10400,2
59,2024,7,South,Headphones,Accessories,1,150,150,3
60,2025,1,West,Phone,Mobile,13,100,1300,2
61,2024,5,South,Phone,Mobile,14,1000,14000,2
62,2025,6,East,Laptop,Computers,11,200,2200,1
63,2024,1,North,Tablet,Mobile,6,800,4800,3
64,2022,2,Central,Phone,Mobile,10,300,3000,4
65,2025,10,Central,Tablet,Mobile,12,500,6000,1
66,2024,1,West,Headphones,Accessories,15,200,3000,1
67,2024,7,North,Smartwatch,Accessories,15,200,3000,3
68,2024,9,East,Smartwatch,Accessories,6,100,600,4
69,2023,4,West,Tablet,Mobile,7,300,2100,4
70,2024,7,Central,Camera,Electronics,12,150,1800,1
71,2025,10,Central,Tablet,Mobile,5,200,1000,3
72,2023,9,West,Headphones,Accessories,8,1000,8000,2
73,2024,2,South,Camera,Electronics,2,300,600,3
74,2023,1,North,Phone,Mobile,13,200,2600,2
75,2025,7,Central,Headphones,Accessories,10,100,1000,2
76,2025,7,South,Camera,Electronics,12,800,9600,2
77,2022,7,South,Camera,Electronics,12,50,600,2
78,2022,9,South,Camera,Electronics,9,1000,9000,1
79,2024,8,Central,Headphones,Accessories,3,1000,3000,5
80,2023,12,West,Headphones,Accessories,14,1000,14000,4
81,2024,9,West,Tablet,Mobile,13,200,2600,2
82,2024,4,East,Tablet,Mobile,8,100,800,3
83,2023,3,South,Tablet,Mobile,15,100,1500,4
84,2022,7,West,Camera,Electronics,3,200,600,3
85,2022,4,West,Smartwatch,Accessories,8,800,6400,4
86,2025,8,North,Smartwatch,Accessories,12,50,600,3
87,2025,9,Central,Tablet,Mobile,13,800,10400,5
88,2024,7,West,Phone,Mobile,8,200,1600,1
89,2023,8,South,Headphones,Accessories,6,800,4800,5
90,2022,2,West,Smartwatch,Accessories,1,800,800,2
91,2024,7,East,Headphones,Accessories,3,50,150,2
92,2025,5,West,Headphones,Accessories,6,500,3000,3
93,2022,6,South,Laptop,Computers,8,50,400,1
94,2023,4,North,Camera,Electronics,1,50,50,5
95,2025,11,North,Phone,Mobile,4,150,600,5
96,2024,3,Central,Phone,Mobile,8,300,2400,5
97,2023,5,North,Camera,Electronics,12,100,1200,5
98,2025,7,South,Laptop,Computers,15,300,4500,1
99,2022,12,East,Smartwatch,Accessories,12,200,2400,5
100,2024,9,West,Laptop,Computers,13,50,650,3
101,2022,7,West,Laptop,Computers,9,500,4500,1
102,2023,7,South,Headphones,Accessories,6,1000,6000,5
103,2025,7,Central,Camera,Electronics,5,1000,5000,3
104,2022,5,West,Tablet,Mobile,14,200,2800,2
105,2024,1,West,Headphones,Accessories,10,800,8000,3
106,2024,5,East,Phone,Mobile,8,200,1600,3
107,2022,9,South,Smartwatch,Accessories,12,300,3600,1
108,2025,9,South,Phone,Mobile,12,800,9600,4
109,2025,1,North,Camera,Electronics,12,1000,12000,3
110,2024,11,Central,Phone,Mobile,7,200,1400,3
111,2025,12,Central,Headphones,Accessories,9,500,4500,3
112,2024,5,East,Tablet,Mobile,12,1000,12000,2
113,2024,2,Central,Laptop,Computers,12,200,2400,2
114,2024,12,Central,Phone,Mobile,4,1000,4000,5
115,2023,5,South,Smartwatch,Accessories,5,100,500,3
116,2023,5,North,Phone,Mobile,5,50,250,1
117,2025,2,North,Smartwatch,Accessories,5,150,750,5
118,2025,6,South,Tablet,Mobile,8,1000,8000,1
119,2022,2,West,Tablet,Mobile,14,1000,14000,4
120,2023,3,Central,Laptop,Computers,10,50,500,3
121,2025,10,Central,Laptop,Computers,4,100,400,5
122,2025,8,East,Phone,Mobile,13,800,10400,5
123,2022,4,South,Headphones,Accessories,5,50,250,3
124,2023,3,Central,Camera,Electronics,2,150,300,1
125,2025,12,Central,Phone,Mobile,1,800,800,4
126,2024,12,East,Tablet,Mobile,1,200,200,4
127,2024,11,Central,Laptop,Computers,11,200,2200,2
128,2023,5,South,Headphones,Accessories,2,200,400,1
129,2024,8,North,Laptop,Computers,3,300,900,4
130,2024,9,Central,Camera,Electronics,5,800,4000,4
131,2025,12,East,Headphones,Accessories,2,50,100,5
132,2023,11,Central,Tablet,Mobile,1,100,100,5
133,2022,3,West,Laptop,Computers,13,300,3900,5
134,2023,10,West,Camera,Electronics,8,300,2400,4
135,2025,6,East,Laptop,Computers,8,500,4000,1
136,2025,5,West,Phone,Mobile,6,800,4800,5
137,2024,5,East,Laptop,Computers,8,100,800,1
138,2025,7,North,Headphones,Accessories,14,50,700,2
139,2025,1,South,Smartwatch,Accessories,6,1000,6000,3
140,2025,12,West,Smartwatch,Accessories,3,300,900,1
141,2023,5,Central,Laptop,Computers,11,200,2200,1
142,2023,2,West,Smartwatch,Accessories,7,100,700,1
143,2025,12,East,Camera,Electronics,14,150,2100,5
144,2025,8,South,Camera,Electronics,5,800,4000,4
145,2023,10,Central,Smartwatch,Accessories,3,800,2400,2
146,2024,9,East,Laptop,Computers,5,800,4000,1
147,2025,3,West,Tablet,Mobile,12,300,3600,5
148,2025,8,East,Headphones,Accessories,6,500,3000,2
149,2023,7,North,Camera,Electronics,4,800,3200,3
150,2025,11,South,Camera,Electronics,8,800,6400,4
151,2022,8,North,Laptop,Computers,3,500,1500,5
152,2025,11,South,Headphones,Accessories,1,150,150,1
153,2024,10,West,Headphones,Accessories,13,300,3900,1
154,2024,11,West,Tablet,Mobile,14,800,11200,5
155,2023,11,East,Laptop,Computers,10,100,1000,2
156,2022,11,North,Camera,Electronics,2,800,1600,4
157,2022,1,East,Phone,Mobile,12,300,3600,1
158,2025,3,South,Tablet,Mobile,6,500,3000,5
159,2023,3,North,Headphones,Accessories,10,150,1500,5
160,2025,10,South,Headphones,Accessories,10,200,2000,2
161,2025,5,North,Headphones,Accessories,11,300,3300,4
162,2022,8,East,Tablet,Mobile,11,150,1650,5
163,2024,8,East,Tablet,Mobile,11,800,8800,2
164,2022,4,West,Headphones,Accessories,14,1000,14000,5
165,2024,1,West,Tablet,Mobile,10,300,3000,3
166,2025,5,South,Laptop,Computers,10,50,500,5
